 ,λ = 100 η = 100,, λ = 100 η = 150,, λ = 100 η = 200,, λ = 100 η = 250,, λ = 150 η = 100,, λ = 150 η = 150,, λ = 150 η = 200,, λ = 150 η = 250,, λ = 200 η = 100,, λ = 200 η = 150,, λ = 200 η = 200,, λ = 200 η = 250,, λ = 250 η = 100,, λ = 250 η = 150,, λ = 250 η = 200,, λ = 250 η = 250,
Instances,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
nano,69.6,14.36,69.6,4.13,70.8,1.61,73.2,1.27,69,14.23,70,5.17,70.6,1.96,73.4,1.7,68.6,12.74,68.2,4.57,71,2.82,73.4,2.18,68.8,18.91,69.2,6.08,70.4,3.05,73.4,2.63
npwr,64,12.78,65,3.86,65.6,1.77,70.2,1.19,63.8,12.02,64.2,3.85,66.8,2.04,69.8,1.58,65,13.76,64.4,5.04,65.8,2.72,70,2.26,64.4,11.15,64,5.8,65.8,2.53,70,2.21
ocelot,65.8,12.57,65.6,3.52,66.2,1.65,70.8,1.24,65.2,15.66,62.8,5.7,66.4,2.36,70.2,1.68,65.6,14.15,65.6,4.22,68,2.6,68.4,2.42,64.2,13.52,65,5.79,67,2.71,70.4,2.4
olpce2294,65.8,10.64,67.8,5.19,67.6,1.62,71.2,1.16,65.6,11.43,65.4,5.26,67,1.78,70.8,1.62,65.6,12.5,65.4,5.13,67.6,2.7,69.8,2.34,67,15.35,65.8,5.89,67.2,2.76,71.2,2.5
olpch2294,61.4,10.51,61.2,3.2,62.6,1.72,64.4,1.19,61.4,13,60.8,3.64,63.8,1.89,65.6,1.5,60.4,13.3,61.4,4.35,62.4,2.52,66.2,2.22,60.6,12.41,61.2,4.59,63.2,2.56,66,2.05
olpcl2294,64.2,11.76,66.6,4.23,67.8,1.83,69.4,1.19,64.6,9.76,66.4,3.98,65.8,2.68,69.6,1.66,64.8,12.89,65.8,6.23,68,2.73,69.2,2.06,65.6,12.88,65.6,4.7,66.6,3.04,70.8,2.23
p2106,60.8,9.27,61.4,4.26,61.8,1.72,66,1.08,61.2,11.63,61.2,3.48,63,2.06,65.4,1.5,61.8,10.19,60.8,5.21,64,2.67,66.6,2.08,60.8,12.43,60.8,5.42,63.6,2.72,65.8,2.34
pati,61.2,9.41,61,3.22,62.6,1.44,65.2,1.11,61,11.54,61.4,3.46,62.4,2,65,1.53,61.6,11.91,60.2,5.12,62.6,2.59,65.8,2.15,59.8,12.5,61.8,4.73,63,2.81,65.6,2.04
pc_i82544,66.2,12.11,66,6.59,67.8,1.74,71.4,1.15,64.6,13.64,65.8,4.05,68,2.01,70.2,1.36,66,14.91,65.2,4.85,67.8,2.6,71.2,2.35,65.8,15.46,66,5.21,68.4,2.66,70.6,2.25
pc_i82559,67.4,13.33,66.6,4.6,67.8,1.75,70.8,1.2,66.4,15.42,66.2,3.45,68,1.74,70.8,1.64,67,17.16,66,6.03,67.8,2.56,70.6,2.2,65.2,12.78,66.4,6.05,68.2,2.85,70.2,2.52
pc_rltk8139,69,16.05,68.6,4.01,72.2,1.8,73.6,1.31,68.2,12.93,67.6,3.43,69.4,2,74.4,1.5,69.6,14.08,68.4,6.42,71.2,2.68,73,2.43,67.8,15.1,68.8,5.24,71.4,3.24,74,2.37
